ORIGINAL_TITLE,PLOT
Charles Manson: The Devil's Work Part 1,"Charles Manson was born a bad kid, became a teenage thief and a violent predator, and by the end, spent far more than half his life behind bars. He had the ability to charm and the power of persuasion, but he chose to use those talents for sinister purposes. This episode details the horror of the vicious attacks and explains how Manson was able to convince his hippie followers to brutally murder innocent strangers."
The Cheshire Murders,"A documentary about a brutal home invasion in Cheshire, Connecticut in 2007."
Spain,"Explores Andalucía during Semana Santa (Holy Week, leading up to Easter), a time filled with great pageantry and excitement."
Part Two: Spring,The assassination of Martin Luther King Jr. and Senator Robert F. Kennedy's pursuit of the Democratic nomination.
Conception,"Amy Schumer learns she's pregnant with her first child. Amy works to perfect her comedy special, she and her husband Chris begin to grow concerned as her golden second trimester still finds her violently throwing up daily."
Redemption,"Redemption is a documentary about New York City's canners - the men and women who survive by redeeming bottles and cans they collect from curbs, garbage cans and apartment complexes. You've seen them combing through the trash, but never got to meet them. The film is an unexpected and intimate look at post-industrial gleaners, struggling at the edge of our society."
The Rise of Civilization,"About 8,000 BC, in a few select places some people begin to experiment with a new way of harvesting energy. They're growing their own crops. An act so simple, it's hard to believe it will kick start a revolution. But it will. These are the first seeds, literally, of the rise of civilization."
Shanghai,Is Shanghai a city where women are taking control of their identities and their love lives?
Native Hawaii,W. Kamau Bell visits the islands of Hawaii to see how the Native Hawaiians are doing.
"Super Car Road Trip From Las Vegas, Nevada To Calexico, California","The brand new season of the world's most popular car show continues with an epic road trip across the western side of the United States in three front-engined supercars. Along the way, the three presenters take in racing circuits, airborne attacks and a race against the police. Meanwhile, back in the studio legendary Fleetwood Mac drummer Mick Fleetwood is the star in the Reasonably Priced Car."
Grain of Truth,"Grains have been the foundation of our diets since the dawn of civilization. However, today's over-processed grains have recently been linked to chronic diseases. How can we get back to a diet of unrefined, more natural grains?"
Kenya,"Bourdain takes his CNN colleague, comedian W. Kamau Bell, on a trip to Nairobi, Kenya, a place Bell always wanted to visit. They learn about its secondhand clothing industry, struggling poor, colorful minibus culture, and nature reserves."
Meet the Donors: Does Money Talk?,"With the 2016 election shaping up to be the most expensive in U.S. history, candidates from both political parties are relying on big donors to get their message out to the American people. Intrepid filmmaker Alexandra Pelosi takes viewers behind the scenes to top-dollar fundraisers and talks with some of these high-rollers to find out why they are pouring millions into our elections."
Episode #3.9,1. Georgia on our minds / an interview with Stacey Abrams 2. Larry Kudlow National Economic Council Director 3. Turbulent times / a conversation with the CEO of Delta Air Lines 4. Deconstructing defunding / reimagining public safety
"NRA Problems, Chicken Bone Problems, Birmingham Problems","Wyatt explores NRA propaganda at the movies, ponders dogs eating chicken bones and travels to Birmingham to learn about police apologies."
Olympic: Obstacles and Animals,"Mountain goats, marmots and spotted owls are just a few of the creatures that Jack and Colton meet face to face as they journey through Olympic National Park in Washington. From rainforest to rocky coast to the magnificent mountains, the guys discover why Olympic is really three parks in one."
"Student Problems, Sidewalk Problems, Misconduct Problems","Wyatt examines America's student loan crisis, attempts to improve sidewalk traffic in the busy urban populace, and explores the issue of police sexual misconduct."
The Big Thing,"1851: Elias Howe receives patent for an ""Automatic, Continuous Clothing Closure"" (zipper) 1889: The Eiffel Tower is completed for the Parisian World Fair of the same year BUT, one detail that the history books never mention is that the World Ended that same year in 1889, in Paris. Just then, Lucifer & the Archangel Michael hatched a successful plan, followed it through, overcoming perilous obstacles, and got the job done. For the first time, our film documents and re-creates the End of the World as it really occurred."
Icelandic Volcanoes,Learn which Icelandic volcano may awaken next and what the consequences of an eruption are likely to be.
Linda and the Mockingbirds,"A road trip undertaken by Ronstadt, Jackson Browne and a group of younger musicians made to the Mexican town of Banámichi in the state of Sonora, the birthplace of Ronstadt's beloved grandfather."
Uruguay,"Anthony Bourdain journeys to the progressive South American nation of Uruguay, accompanied by NYC chef Ignacio Mattos, a native Uruguayan, where they enjoy a wide selection of meats in a country where cattle outnumber people almost 4 to 1."
Ted Bundy Part 4: The Death Row Confessions,"Ted Bundy maintains his innocence. As the clock wound down on his final death warrant, Ted Bundy made a last attempt to save his life. He began to talk. Were his confessions too late or a could this save him from the electric chair?"
Who Killed the Neanderthal?,"Was it genocide? Epidemics? Climate change? Interbreeding? Competitive replacement? In order to find out, this ambitious team examines the evidence as it would a criminal investigation. They take us around the world to forensic labs and explore the main regions Neanderthals inhabited."
"The Games of the V Olympiad Stockholm, 1912","Newly restored and assembled by the International Olympic Committee, The Games of the V Olympiad Stockholm, 1912 (Stockholm 1912) is the earliest comprehensive moving-image record of the modern Olympic Games that survives today."
