VALUE,PLOT
Biography,Biography of the Academy Award winning director including dramatic color footage of WWII.
Family,"In the Antarctic, every March since the beginning of time, the quest begins to find the perfect mate and start a family."
Crime,"Story of San Quentin Death Row inmate Kevin Cooper, who was convicted of the brutal murder of four people in the Chino Hills area of California in 1983."
Crime,"As he investigates the parts of his family that have been kept in the shadows, Madison explores the fallout of his mother and aunts' involvement in the ""Gifting Tables"" - a multi-level marketing scheme."
Mystery,"As he investigates the parts of his family that have been kept in the shadows, Madison explores the fallout of his mother and aunts' involvement in the ""Gifting Tables"" - a multi-level marketing scheme."
Music,"Explores the impact of Latino music on United States culture. The documentary traces the roots of Hispanic contributions to American music starting from Pérez Prado, Xavier Cugat, the Afro-Cubans and Tito Puente. It places particular importance on the contributions of Desi Arnaz, Rita Moreno and José Feliciano. Over fifteen Hispanic musicians, apart from Feliciano and Moreno, including Marc Anthony, Pitbull, Gloria Estefan, Jennifer Lopez, Ricky Martin, Shakira and Romeo Santos are interviewed about their careers, impact and influences including the Fania All-Stars. Comedians and actors Cheech Marin, Eva Longoria also discuss their experiences and the impact of Hispanic Americans beyond music."
News,[HBO] HD. Axios Joins Kamala Harris on the campaign trail and travels to the only U.S. offshore wind farm.
Talk-Show,[HBO] HD. Axios Joins Kamala Harris on the campaign trail and travels to the only U.S. offshore wind farm.
Short,"Host Jeff Corwin remembers some of his most exciting deep-water dives from the series, including hunting for Lionfish, visiting an underwater coral garden, exploring an ancient deep-water archaeological dig, and experiencing the thrill of a nighttime swim with manta rays."
Adventure,"Host Jeff Corwin remembers some of his most exciting deep-water dives from the series, including hunting for Lionfish, visiting an underwater coral garden, exploring an ancient deep-water archaeological dig, and experiencing the thrill of a nighttime swim with manta rays."
Family,"Host Jeff Corwin remembers some of his most exciting deep-water dives from the series, including hunting for Lionfish, visiting an underwater coral garden, exploring an ancient deep-water archaeological dig, and experiencing the thrill of a nighttime swim with manta rays."
History,"As the pope's temporal power and political influence grows, so does corruption in the church."
Sport,A documentary that showcases baseball's most unpredictable pitch.
Short,"Host Jeff Corwin gets an up-close look at many amazing youngsters who grow up living in or near the ocean. Jeff travels to Alaska for to see a baby walrus, stops by Chicago's famous Shedd Aquarium for a rare look at a baby Beluga whale and baby dolphin, and even helps welcome baby penguins in to the world at Georgia Aquarium."
Adventure,"Host Jeff Corwin gets an up-close look at many amazing youngsters who grow up living in or near the ocean. Jeff travels to Alaska for to see a baby walrus, stops by Chicago's famous Shedd Aquarium for a rare look at a baby Beluga whale and baby dolphin, and even helps welcome baby penguins in to the world at Georgia Aquarium."
Family,"Host Jeff Corwin gets an up-close look at many amazing youngsters who grow up living in or near the ocean. Jeff travels to Alaska for to see a baby walrus, stops by Chicago's famous Shedd Aquarium for a rare look at a baby Beluga whale and baby dolphin, and even helps welcome baby penguins in to the world at Georgia Aquarium."
Crime,"New theories emerge in the O.J. Simpson case, including a serial killer's confession, a possible hit man who claims responsibility for the murders."
Mystery,"New theories emerge in the O.J. Simpson case, including a serial killer's confession, a possible hit man who claims responsibility for the murders."
Adventure,"Zamir Gotta upstages Bourdain on a tour of the mountainous Eurasian country, featuring food from Tbilisi, Batumi, and Khurvaleti."
Crime,"Frank Colombo reveals how ""Uncle Jerry"" would sell the winning tickets to his brother, Gennaro ""Jerry"" Colombo, for a premium. The undercover FBI video crew interviews a winner who tries to obscure the origins of her million-dollar game ticket."
History,"Frank Colombo reveals how ""Uncle Jerry"" would sell the winning tickets to his brother, Gennaro ""Jerry"" Colombo, for a premium. The undercover FBI video crew interviews a winner who tries to obscure the origins of her million-dollar game ticket."
History,"The brutal history of the United States retold from the perspective of those who were murdered, those whose land was stolen and those who were enslaved by those who thought they were racially superior."
Comedy,"Amy Schumer learns she's pregnant with her first child. Amy works to perfect her comedy special, she and her husband Chris begin to grow concerned as her golden second trimester still finds her violently throwing up daily."
Animation,"Thanks to new technologies combining genetics, ethology, geology and even particle physics, paleontologists can now recreate the missing branches of the tree of life. Now, paleontologists can show that there were far more feathered dinosaurs than previously believed."
History,"Thanks to new technologies combining genetics, ethology, geology and even particle physics, paleontologists can now recreate the missing branches of the tree of life. Now, paleontologists can show that there were far more feathered dinosaurs than previously believed."
Comedy,"Jeremy Clarkson and Richard Hammond go on a seven-day road trip from Venice, Italy, to Pau, France, in this special episode from the BBC motoring series. Along the way the pair visit the Autodromo Nazionale Monza race track and take to the road in Monaco. The show features a range of cars including a Ford Model T, a Ferrari F12 Berlinetta, a Porsche Cayman S and an Aston Martin Vanquish."
Adventure,"Bourdain joins the throngs of locals as he motorbikes through Vietnam's capital and indulges in its singular cuisine with president Barack Obama, who, over a dish of Bun Cha, shares personal stories and reflects on his own international travels."
